,0,1
1432,2019-10-04 14:01:06," {""date"": ""20191004"", ""time"": ""140004"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.195}"
1433,2019-10-04 14:01:06," {""date"": ""20191004"", ""time"": ""140008"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.90""}"
1434,2019-10-04 14:01:06," {""date"": ""20191004"", ""time"": ""140106"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.03235024""}"
1436,2019-10-04 14:31:06," {""date"": ""20191004"", ""time"": ""143004"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.382}"
1437,2019-10-04 14:31:06," {""date"": ""20191004"", ""time"": ""143008"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.77""}"
1438,2019-10-04 14:31:06," {""date"": ""20191004"", ""time"": ""143106"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.03740655""}"
1440,2019-10-04 15:01:09," {""date"": ""20191004"", ""time"": ""150008"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.382}"
1441,2019-10-04 15:01:09," {""date"": ""20191004"", ""time"": ""150012"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.62""}"
1442,2019-10-04 15:01:09," {""date"": ""20191004"", ""time"": ""150109"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.03290455""}"
1444,2019-10-04 15:31:08," {""date"": ""20191004"", ""time"": ""153007"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.07}"
